League,Day,Team 1,Team 2,team_A_score,team_B_score,winner_team,Tgames1,Wgames1,Lgames1,W%1,L%1,Ppoints1,Npoints1,PPPWG1,NPPWG1,PPPLG1,NPPLG1,DiffT1,DiffW1,DiffL1,Ratio1,Tgames2,Wgames2,Lgames2,W%2,L%2,Ppoints2,Npoints2,PPPWG2,NPPWG2,PPPLG2,NPPLG2,DiffT2,DiffW2,DiffL2,Ratio2
Euroleague,2021-03-03,AX Armani Exchange Milano,Fenerbahce,0,0,None,7,6,1,85.71,14.29,575,510,84.33,72.0,69.0,78.0,65,12.329999999999998,-9.0,1.1274509803921569,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
Euroleague,2021-03-03,Zalgiris,LDLC ASVEL,0,0,None,8,5,3,62.5,37.5,616,617,82.0,75.2,68.67,80.33,-1,6.799999999999997,-11.659999999999997,0.9983792544570502,8,5,3,62.5,37.5,645,655,80.2,72.8,81.33,97.0,-10,7.400000000000006,-15.670000000000002,0.9847328244274809
Euroleague,2021-03-02,Crvena zvezda mts,FC Bayern München,0,0,None,7,1,6,14.29,85.71,495,572,74.0,71.0,70.17,83.5,-77,3.0,-13.329999999999998,0.8653846153846154,8,5,3,62.5,37.5,646,651,87.4,82.2,69.67,80.0,-5,5.200000000000003,-10.329999999999998,0.9923195084485407
Euroleague,2021-03-02,Maccabi Playtika Tel Aviv,CSKA Moscow,0,0,None,7,4,3,57.14,42.86,585,569,87.75,80.0,78.0,83.0,16,7.75,-5.0,1.0281195079086116,8,3,5,37.5,62.5,665,674,81.67,76.0,84.0,89.2,-9,5.670000000000002,-5.200000000000003,0.9866468842729971
Euroleague,2021-03-02,Panathinaikos,F.C. Barcelona,0,0,None,7,4,3,57.14,42.86,578,563,90.25,74.5,72.33,88.33,15,15.75,-16.0,1.0266429840142095,8,6,2,75.0,25.0,660,615,82.83,72.83,81.5,89.0,45,10.0,-7.5,1.0731707317073171
Euroleague,2021-03-02,Anadolu Efes,Valencia,0,0,None,7,5,2,71.43,28.57,602,532,91.8,74.8,71.5,79.0,70,17.0,-7.5,1.131578947368421,8,2,6,25.0,75.0,645,689,98.0,87.0,74.83,85.83,-44,11.0,-11.0,0.9361393323657474
Euroleague,2021-03-02,Zenit St. Petersburg,Alba Berlin,0,0,None,6,2,4,33.33,66.67,483,484,81.0,71.5,80.25,85.25,-1,9.5,-5.0,0.9979338842975206,8,2,6,25.0,75.0,624,665,89.5,84.0,74.17,82.83,-41,5.5,-8.659999999999997,0.9383458646616541
Euroleague,2021-03-02,Khimki Moscow Region,Real Madrid,0,0,None,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,7,4,3,57.14,42.86,526,520,75.5,67.5,74.67,83.33,6,8.0,-8.659999999999997,1.0115384615384615
Euroleague,2021-02-28,Maccabi Playtika Tel Aviv,Anadolu Efes,0,0,None,8,5,3,62.5,37.5,653,636,83.8,77.4,78.0,83.0,17,6.3999999999999915,-5.0,1.0267295597484276,8,6,2,75.0,25.0,688,611,90.83,75.5,71.5,79.0,77,15.329999999999998,-7.5,1.126022913256956
Euroleague,2021-02-26,Fenerbahce,Anadolu Efes,0,0,None,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,9,6,3,66.67,33.33,757,683,90.83,75.5,70.67,76.67,74,15.329999999999998,-6.0,1.1083455344070279
Euroleague,2021-02-26,Alba Berlin,Panathinaikos,0,0,None,9,2,7,22.22,77.78,695,739,89.5,84.0,73.71,81.57,-44,5.5,-7.859999999999999,0.9404600811907984,8,4,4,50.0,50.0,649,637,90.25,74.5,72.0,84.75,12,15.75,-12.75,1.0188383045525902
