League,Day,Team 1,Team 2,Score
Euroleague,"Jan 17, 2018",Real Madrid,TD Systems Baskonia,75 - 73
Euroleague,"Jan 17, 2018",AX Armani Exchange Milano,Unicaja Malaga,101 - 87
Euroleague,"Jan 18, 2018",Khimki Moscow Region,Olympiacos,82 - 54
Euroleague,"Jan 18, 2018",Maccabi Playtika Tel Aviv,Crvena zvezda mts,89 - 75
Euroleague,"Jan 18, 2018",Zalgiris,Valencia,86 - 82
Euroleague,"Jan 18, 2018",F.C. Barcelona,Brose Bamberg,81 - 66
Euroleague,"Jan 19, 2018",Panathinaikos,CSKA Moscow,70 - 75
Euroleague,"Jan 19, 2018",Anadolu Efes,Fenerbahce,84 - 89
Euroleague,"Jan 19, 2018",TD Systems Baskonia,AX Armani Exchange Milano,82 - 83
Euroleague,"Jan 19, 2018",Unicaja Malaga,Real Madrid,80 - 75
Euroleague,"Jan 25, 2018",Panathinaikos,Zalgiris,94 - 93
Euroleague,"Jan 25, 2018",Real Madrid,Anadolu Efes,87 - 68
Euroleague,"Jan 25, 2018",Unicaja Malaga,TD Systems Baskonia,83 - 85
Euroleague,"Jan 26, 2018",Fenerbahce,F.C. Barcelona,86 - 82
Euroleague,"Jan 26, 2018",Crvena zvezda mts,Olympiacos,89 - 78
Euroleague,"Jan 26, 2018",CSKA Moscow,Brose Bamberg,81 - 72
Euroleague,"Jan 26, 2018",Valencia,Khimki Moscow Region,85 - 83
Euroleague,"Jan 26, 2018",AX Armani Exchange Milano,Maccabi Playtika Tel Aviv,102 - 111
Euroleague,"Feb 1, 2018",Olympiacos,Fenerbahce,95 - 70
Euroleague,"Feb 1, 2018",Anadolu Efes,Valencia,82 - 66
Euroleague,"Feb 1, 2018",CSKA Moscow,Real Madrid,93 - 87
Euroleague,"Feb 1, 2018",Zalgiris,Maccabi Playtika Tel Aviv,99 - 84
Euroleague,"Feb 1, 2018",F.C. Barcelona,AX Armani Exchange Milano,81 - 83
Euroleague,"Feb 2, 2018",Brose Bamberg,Panathinaikos,95 - 74
Euroleague,"Feb 2, 2018",Khimki Moscow Region,Unicaja Malaga,68 - 66
Euroleague,"Feb 2, 2018",TD Systems Baskonia,Crvena zvezda mts,103 - 84
Euroleague,"Feb 8, 2018",Panathinaikos,TD Systems Baskonia,80 - 76
Euroleague,"Feb 8, 2018",Maccabi Playtika Tel Aviv,F.C. Barcelona,94 - 82
Euroleague,"Feb 8, 2018",Valencia,CSKA Moscow,103 - 99
Euroleague,"Feb 8, 2018",Unicaja Malaga,Anadolu Efes,81 - 68
Euroleague,"Feb 9, 2018",Fenerbahce,Brose Bamberg,77 - 69
Euroleague,"Feb 9, 2018",Crvena zvezda mts,AX Armani Exchange Milano,100 - 89
Euroleague,"Feb 9, 2018",Zalgiris,Khimki Moscow Region,74 - 84
Euroleague,"Feb 9, 2018",Real Madrid,Olympiacos,79 - 80
Euroleague,"Feb 22, 2018",Olympiacos,Valencia,80 - 70
Euroleague,"Feb 22, 2018",Fenerbahce,AX Armani Exchange Milano,89 - 70
Euroleague,"Feb 22, 2018",CSKA Moscow,TD Systems Baskonia,93 - 86
Euroleague,"Feb 22, 2018",Unicaja Malaga,Maccabi Playtika Tel Aviv,83 - 69
Euroleague,"Feb 23, 2018",Brose Bamberg,Crvena zvezda mts,86 - 62
Euroleague,"Feb 23, 2018",Anadolu Efes,Zalgiris,70 - 86
Euroleague,"Feb 23, 2018",Khimki Moscow Region,Panathinaikos,78 - 61
Euroleague,"Feb 23, 2018",F.C. Barcelona,Real Madrid,74 - 101
Euroleague,"Mar 1, 2018",Maccabi Playtika Tel Aviv,CSKA Moscow,73 - 93
Euroleague,"Mar 1, 2018",Zalgiris,F.C. Barcelona,90 - 74
Euroleague,"Mar 1, 2018",TD Systems Baskonia,Khimki Moscow Region,87 - 77
Euroleague,"Mar 1, 2018",AX Armani Exchange Milano,Anadolu Efes,77 - 64
Euroleague,"Mar 2, 2018",Panathinaikos,Olympiacos,85 - 87
Euroleague,"Mar 2, 2018",Crvena zvezda mts,Unicaja Malaga,80 - 76
Euroleague,"Mar 2, 2018",Valencia,Brose Bamberg,86 - 70
Euroleague,"Mar 2, 2018",Real Madrid,Fenerbahce,83 - 86
Euroleague,"Mar 8, 2018",Anadolu Efes,Maccabi Playtika Tel Aviv,81 - 94
Euroleague,"Mar 8, 2018",Khimki Moscow Region,AX Armani Exchange Milano,77 - 86
Euroleague,"Mar 8, 2018",Valencia,TD Systems Baskonia,71 - 81
Euroleague,"Mar 8, 2018",Real Madrid,Panathinaikos,92 - 75
Euroleague,"Mar 9, 2018",Olympiacos,Brose Bamberg,87 - 79
Euroleague,"Mar 9, 2018",CSKA Moscow,Unicaja Malaga,101 - 76
Euroleague,"Mar 9, 2018",Zalgiris,Fenerbahce,78 - 85
Euroleague,"Mar 9, 2018",F.C. Barcelona,Crvena zvezda mts,88 - 54
Euroleague,"Mar 13, 2018",AX Armani Exchange Milano,Real Madrid,77 - 88
Euroleague,"Mar 15, 2018",Olympiacos,F.C. Barcelona,63 - 90
Euroleague,"Mar 15, 2018",Brose Bamberg,Anadolu Efes,88 - 79
Euroleague,"Mar 15, 2018",Crvena zvezda mts,Valencia,106 - 90
Euroleague,"Mar 15, 2018",Maccabi Playtika Tel Aviv,Khimki Moscow Region,91 - 94
Euroleague,"Mar 15, 2018",TD Systems Baskonia,Zalgiris,84 - 64
Euroleague,"Mar 16, 2018",Fenerbahce,CSKA Moscow,79 - 81
Euroleague,"Mar 16, 2018",Unicaja Malaga,Panathinaikos,79 - 90
Euroleague,"Mar 20, 2018",Panathinaikos,Crvena zvezda mts,91 - 71
Euroleague,"Mar 20, 2018",Fenerbahce,Maccabi Playtika Tel Aviv,87 - 73
Euroleague,"Mar 20, 2018",Zalgiris,AX Armani Exchange Milano,77 - 65
Euroleague,"Mar 20, 2018",Valencia,Real Madrid,96 - 88
Euroleague,"Mar 21, 2018",Anadolu Efes,Khimki Moscow Region,73 - 85
Euroleague,"Mar 21, 2018",CSKA Moscow,Olympiacos,89 - 81
Euroleague,"Mar 21, 2018",TD Systems Baskonia,Brose Bamberg,103 - 79
Euroleague,"Mar 21, 2018",Unicaja Malaga,F.C. Barcelona,95 - 91
Euroleague,"Mar 22, 2018",Crvena zvezda mts,Fenerbahce,63 - 80
Euroleague,"Mar 22, 2018",Maccabi Playtika Tel Aviv,Panathinaikos,75 - 76
Euroleague,"Mar 22, 2018",Real Madrid,Zalgiris,88 - 81
Euroleague,"Mar 22, 2018",AX Armani Exchange Milano,Valencia,89 - 93
Euroleague,"Mar 23, 2018",Olympiacos,Anadolu Efes,89 - 82
Euroleague,"Mar 23, 2018",Brose Bamberg,Unicaja Malaga,93 - 88
Euroleague,"Mar 23, 2018",Khimki Moscow Region,CSKA Moscow,73 - 90
Euroleague,"Mar 23, 2018",F.C. Barcelona,TD Systems Baskonia,73 - 86
Euroleague,"Mar 29, 2018",Brose Bamberg,AX Armani Exchange Milano,78 - 83
Euroleague,"Mar 29, 2018",Anadolu Efes,F.C. Barcelona,83 - 107
Euroleague,"Mar 29, 2018",Khimki Moscow Region,Fenerbahce,64 - 73
Euroleague,"Mar 29, 2018",TD Systems Baskonia,Maccabi Playtika Tel Aviv,83 - 72
Euroleague,"Mar 30, 2018",Unicaja Malaga,Olympiacos,87 - 85
Euroleague,"Mar 30, 2018",Zalgiris,CSKA Moscow,85 - 73
Euroleague,"Mar 30, 2018",Crvena zvezda mts,Real Madrid,79 - 82
Euroleague,"Mar 30, 2018",Panathinaikos,Valencia,75 - 56
Euroleague,"Apr 5, 2018",CSKA Moscow,Crvena zvezda mts,92 - 81
Euroleague,"Apr 5, 2018",Fenerbahce,Unicaja Malaga,91 - 99
Euroleague,"Apr 5, 2018",F.C. Barcelona,Khimki Moscow Region,86 - 82
Euroleague,"Apr 5, 2018",TD Systems Baskonia,Anadolu Efes,79 - 81
Euroleague,"Apr 5, 2018",AX Armani Exchange Milano,Panathinaikos,95 - 96
Euroleague,"Apr 6, 2018",Olympiacos,Zalgiris,85 - 86
Euroleague,"Apr 6, 2018",Real Madrid,Brose Bamberg,106 - 86
Euroleague,"Apr 6, 2018",Valencia,Maccabi Playtika Tel Aviv,87 - 84
Euroleague,"Apr 17, 2018",CSKA Moscow,Khimki Moscow Region,98 - 95
Euroleague,"Apr 17, 2018",Panathinaikos,Real Madrid,95 - 67
Euroleague,"Apr 18, 2018",Fenerbahce,TD Systems Baskonia,82 - 73
Euroleague,"Apr 18, 2018",Olympiacos,Zalgiris,78 - 87
Euroleague,"Apr 19, 2018",CSKA Moscow,Khimki Moscow Region,89 - 84
Euroleague,"Apr 19, 2018",Panathinaikos,Real Madrid,82 - 89
Euroleague,"Apr 20, 2018",Fenerbahce,TD Systems Baskonia,95 - 89
Euroleague,"Apr 20, 2018",Olympiacos,Zalgiris,79 - 68
Euroleague,"Apr 24, 2018",TD Systems Baskonia,Fenerbahce,88 - 83
Euroleague,"Apr 24, 2018",Zalgiris,Olympiacos,80 - 60
Euroleague,"Apr 25, 2018",Real Madrid,Panathinaikos,81 - 74
Euroleague,"Apr 25, 2018",Khimki Moscow Region,CSKA Moscow,79 - 73
Euroleague,"Apr 26, 2018",Zalgiris,Olympiacos,101 - 91
Euroleague,"Apr 26, 2018",TD Systems Baskonia,Fenerbahce,83 - 92
Euroleague,"Apr 27, 2018",Khimki Moscow Region,CSKA Moscow,88 - 89
Euroleague,"Apr 27, 2018",Real Madrid,Panathinaikos,89 - 82
Euroleague,"May 18, 2018",Fenerbahce,Zalgiris,76 - 67
Euroleague,"May 18, 2018",CSKA Moscow,Real Madrid,83 - 92
Euroleague,"May 20, 2018",CSKA Moscow,Zalgiris,77 - 79
Euroleague,"May 20, 2018",Real Madrid,Fenerbahce,85 - 80
